Credit_Limit,Sex,Education,Marital_Status,Age,Jan_Repay_Status,Jan_Statement,Feb_Repay_Status,Previous_Payment_Prior_Feb,Feb_Statement,Mar_Repay_Status,Previous_Payment_Prior_Mar,Mar_Statement,Apr_Repay_Status,Previous_Payment_Prior_Apr,Apr_Statement,May_Repay_Status,Previous_Payment_Prior_May,May_Statement,Jun_Repay_Status,Previous_Payment_Prior_Jun,Jun_Statement,Amount owed,Amount paid,Amount left,July_Payment_Status,Feb.Credit.Capacity,Mar.Credit.Capacity,Apr.Credit.Capacity,May.Credit.Capacity,Jun.Credit.Capacity,Overall.Credit.Capacity
10500,2,,1,41,-1,96,-1,144,92,-1,214,144,-1,112,213,-1,232,80,-1,81,231,625,783,-158,0,0.8761904762,1.3714285714,2.0285714286,0.7619047619,2.2,1.4476190476
14300,1,3,1,43,-2,0,-2,0,177,-2,147,0,-2,115,147,-2,117,110,-2,211,117,434,590,-156,0,1.2377622378,0,1.027972028,0.7692307692,0.8181818182,0.7706293706
14300,1,2,2,26,-1,286,-1,268,391,-1,450,267,-1,390,448,-1,352,389,-1,475,351,1781,1935,-154,0,2.7342657343,1.8671328671,3.1328671329,2.7202797203,2.4545454545,2.5818181818
900,2,2,1,52,1,0,-1,88,200,-1,242,88,-1,200,122,-1,120,170,0,80,287,580,730,-150,0,22.2222222222,9.7777777778,13.5555555556,18.8888888889,31.8888888889,19.2666666667
6900,1,2,2,30,-2,486,-2,400,400,-2,400,400,-2,399,400,-2,635,399,-2,400,634,2085,2234,-149,0,5.7971014493,5.7971014493,5.7971014493,5.7826086957,9.1884057971,6.4724637681
10300,2,2,1,41,0,1408,0,1922,1758,-1,1840,1878,-1,1040,1805,0,1920,1045,-1,1320,1870,7894,8042,-148,0,17.067961165,18.2330097087,17.5242718447,10.145631068,18.1553398058,16.2252427184
11100,2,2,2,38,-1,508,-1,539,529,-1,505,539,-1,559,505,-1,504,559,-1,677,504,2640,2784,-144,0,4.7657657658,4.8558558559,4.5495495495,5.036036036,4.5405405405,4.7495495495
5900,1,1,2,29,-2,183,-2,33,277,-2,260,33,-2,206,259,-2,313,206,-2,285,312,958,1097,-139,0,4.6949152542,0.5593220339,4.3898305085,3.4915254237,5.2881355932,3.6847457627
13700,2,1,2,25,-1,185,-1,618,522,-1,384,618,-1,175,384,-1,517,167,-1,320,517,1876,2014,-138,0,3.8102189781,4.5109489051,2.802919708,1.2189781022,3.7737226277,3.2233576642
8100,2,3,3,44,-1,177,-1,154,287,-1,136,154,-1,272,136,-1,397,272,-1,201,397,1026,1160,-134,0,3.5432098765,1.9012345679,1.6790123457,3.3580246914,4.9012345679,3.0765432099
7200,2,1,2,28,1,0,-1,133,134,-1,133,133,-1,133,133,-1,133,133,-1,133,133,533,665,-132,0,1.8611111111,1.8472222222,1.8472222222,1.8472222222,1.8472222222,1.85
12800,1,1,2,33,-1,30,-1,88,92,-1,158,88,-1,222,157,-1,126,222,-1,122,126,589,716,-127,0,0.71875,0.6875,1.2265625,1.734375,0.984375,1.0703125
19900,2,2,1,42,-2,413,-2,488,493,-2,669,488,-2,710,669,-2,565,710,-2,468,565,2773,2900,-127,0,2.4773869347,2.4522613065,3.3618090452,3.567839196,2.8391959799,2.9396984925
8100,1,2,1,34,-1,134,-1,239,214,-1,134,239,-1,202,134,-1,285,202,-1,189,285,923,1049,-126,0,2.6419753086,2.950617284,1.6543209877,2.4938271605,3.5185185185,2.6518518519
22900,2,1,1,41,-2,96,-2,146,155,-2,206,145,-2,303,205,-2,196,303,-2,169,196,904,1020,-116,0,0.6768558952,0.6331877729,0.8951965066,1.3231441048,0.8558951965,0.8768558952
20000,1,1,1,45,-1,406,-1,472,294,-1,436,469,-1,364,434,-1,523,362,-1,283,521,1965,2078,-113,0,1.47,2.345,2.17,1.81,2.605,2.08
15500,2,2,2,27,-1,57,-1,85,51,-1,89,85,-1,48,89,-1,135,48,-1,86,134,330,443,-113,0,0.3290322581,0.5483870968,0.5741935484,0.3096774194,0.864516129,0.5251612903
7200,1,1,1,44,-2,591,-2,691,489,-2,602,663,-2,715,602,-2,545,715,-2,619,545,3060,3172,-112,0,6.7916666667,9.2083333333,8.3611111111,9.9305555556,7.5694444444,8.3722222222
9100,2,3,2,38,-2,75,-2,75,75,-2,114,75,-2,75,114,-2,185,75,-2,75,185,414,524,-110,0,0.8241758242,0.8241758242,1.2527472527,0.8241758242,2.032967033,1.1516483516
13900,2,2,1,37,-1,179,-1,173,199,-1,200,173,-1,172,200,-1,239,172,-1,241,238,923,1025,-102,0,1.4316546763,1.2446043165,1.4388489209,1.2374100719,1.7122302158,1.4129496403
800,2,1,2,27,-1,236,-1,264,164,-1,200,264,0,177,373,-1,340,165,-1,321,338,1202,1302,-100,0,20.5,33,46.625,20.625,42.25,32.6
6100,1,1,2,24,-1,42,-1,149,130,-1,58,147,-1,94,58,-1,145,94,-1,124,145,471,570,-99,0,2.131147541,2.4098360656,0.9508196721,1.5409836066,2.3770491803,1.8819672131
6500,1,2,2,28,-2,86,-2,109,67,-2,93,103,-2,92,93,-2,138,91,-2,105,138,440,537,-97,0,1.0307692308,1.5846153846,1.4307692308,1.4,2.1230769231,1.5138461538
6000,1,3,2,50,-1,158,-1,106,126,-1,99,106,-1,165,99,-1,188,164,-1,188,188,653,746,-93,0,2.1,1.7666666667,1.65,2.7333333333,3.1333333333,2.2766666667
8100,2,2,1,39,-1,392,-1,359,578,-1,516,357,-1,313,515,-1,517,313,-1,543,516,2155,2248,-93,0,7.1358024691,4.4074074074,6.3580246914,3.8641975309,6.3703703704,5.6271604938
8100,2,2,1,36,-2,265,-2,151,99,-2,171,150,-1,121,171,-1,204,121,-1,251,203,806,898,-92,0,1.2222222222,1.8518518519,2.1111111111,1.4938271605,2.5061728395,1.837037037
16700,1,1,1,54,-1,444,-1,428,644,-1,582,428,-1,825,581,-1,706,825,-1,470,706,2922,3011,-89,0,3.8562874251,2.5628742515,3.4790419162,4.9401197605,4.2275449102,3.8131736527
10800,2,2,1,45,-2,336,-2,300,300,-2,300,300,-2,300,300,-2,300,300,-2,419,300,1536,1619,-83,0,2.7777777778,2.7777777778,2.7777777778,2.7777777778,2.7777777778,2.7777777778
6300,2,1,2,27,-1,97,-1,149,201,-1,172,149,-1,200,139,-1,100,169,0,216,117,755,837,-82,0,3.1904761905,2.3650793651,2.2063492063,2.6825396825,1.8571428571,2.4603174603
4800,2,1,2,28,-1,260,-1,260,196,-1,273,260,-1,225,273,-1,220,225,-1,317,113,1214,1295,-81,0,4.0833333333,5.4166666667,5.6875,4.6875,2.3541666667,4.4458333333
13500,2,1,2,37,-1,13,-1,120,123,-1,105,120,-1,72,105,-1,80,72,-1,135,80,433,512,-79,0,0.9111111111,0.8888888889,0.7777777778,0.5333333333,0.5925925926,0.7407407407
6300,2,3,1,30,-1,89,-1,40,359,0,431,132,-1,472,431,-1,402,472,-1,213,402,1483,1558,-75,0,5.6984126984,2.0952380952,6.8412698413,7.4920634921,6.380952381,5.7015873016
8300,1,2,1,38,-1,285,-1,173,144,-2,149,172,-2,205,149,-2,230,205,-2,270,230,955,1027,-72,0,1.734939759,2.0722891566,1.7951807229,2.4698795181,2.7710843373,2.1686746988
2100,2,3,1,53,-1,192,-1,200,154,-1,200,187,-1,168,181,-1,192,167,-1,191,192,881,951,-70,0,7.3333333333,8.9047619048,8.619047619,7.9523809524,9.1428571429,8.3904761905
11100,1,1,1,36,1,184,-1,95,216,-1,148,95,-1,234,148,-1,224,201,-1,212,208,844,913,-69,0,1.9459459459,0.8558558559,1.3333333333,1.8108108108,1.8738738739,1.563963964
3100,2,3,1,25,-2,135,-2,139,135,-1,135,139,-1,135,135,-2,202,135,-2,135,202,679,746,-67,0,4.3548387097,4.4838709677,4.3548387097,4.3548387097,6.5161290323,4.8129032258
9100,2,2,1,42,-1,33,-1,226,727,-1,515,219,-1,279,326,-1,365,279,-1,262,365,1584,1647,-63,0,7.989010989,2.4065934066,3.5824175824,3.0659340659,4.010989011,4.210989011
10400,2,1,1,48,-1,18,-1,24,11,-1,27,24,-1,29,27,-1,43,29,-1,49,43,109,172,-63,1,0.1057692308,0.2307692308,0.2596153846,0.2788461538,0.4134615385,0.2576923077
7300,2,2,2,46,1,102,-1,122,122,-1,211,122,-1,66,211,-1,267,66,-1,20,267,623,686,-63,0,1.6712328767,1.6712328767,2.8904109589,0.904109589,3.6575342466,2.1589041096
3300,2,2,1,35,1,169,-2,634,569,-2,400,634,-2,400,400,-2,400,400,-2,400,400,2172,2234,-62,0,17.2424242424,19.2121212121,12.1212121212,12.1212121212,12.1212121212,14.5636363636
9600,2,2,2,35,-1,221,-1,209,198,-1,259,209,-1,153,259,-1,400,153,0,80,475,1040,1101,-61,0,2.0625,2.1770833333,2.6979166667,1.59375,4.9479166667,2.6958333333
6400,2,2,1,41,1,0,-1,60,60,-1,60,60,-1,60,60,-1,60,60,-1,60,60,240,300,-60,0,0.9375,0.9375,0.9375,0.9375,0.9375,0.9375
8700,2,2,2,30,-1,299,-1,198,202,-1,283,198,-1,100,283,-1,335,100,-1,223,335,1082,1139,-57,0,2.3218390805,2.275862069,3.2528735632,1.1494252874,3.8505747126,2.5701149425
12000,1,2,1,33,-1,512,-1,519,567,-1,593,519,-1,512,591,-1,568,512,-1,564,567,2701,2756,-55,0,4.725,4.325,4.925,4.2666666667,4.725,4.5933333333
10400,1,3,1,52,-2,132,-2,148,295,-2,189,146,-2,119,189,-2,238,119,-2,241,238,881,935,-54,0,2.8365384615,1.4038461538,1.8173076923,1.1442307692,2.2884615385,1.8980769231
9100,2,1,2,32,1,169,2,220,77,-1,160,214,0,440,279,-1,200,428,0,200,616,1167,1220,-53,1,0.8461538462,2.3516483516,3.0659340659,4.7032967033,6.7692307692,3.5472527473
5100,2,3,1,42,-1,40,-1,44,148,-1,116,44,-1,116,116,-1,165,116,-1,75,165,464,516,-52,0,2.9019607843,0.862745098,2.2745098039,2.2745098039,3.2352941176,2.3098039216
900,2,2,2,40,0,125,0,92,106,0,92,98,-1,94,90,-1,173,92,-1,112,173,511,563,-52,0,11.7777777778,10.8888888889,10,10.2222222222,19.2222222222,12.4222222222
8500,2,2,1,42,-1,88,-1,39,143,-1,99,39,-1,133,99,-1,215,133,-1,64,215,502,550,-48,0,1.6823529412,0.4588235294,1.1647058824,1.5647058824,2.5294117647,1.48
6500,2,1,1,30,-1,128,-1,137,128,-1,110,137,-1,110,110,-1,209,110,-1,93,209,613,659,-46,0,1.9692307692,2.1076923077,1.6923076923,1.6923076923,3.2153846154,2.1353846154
9300,2,3,1,55,-1,49,-1,74,31,-1,16,74,-1,78,16,-1,44,78,-1,82,44,248,294,-46,0,0.3333333333,0.7956989247,0.1720430108,0.8387096774,0.4731182796,0.5225806452
7200,1,2,2,32,-1,400,-1,439,400,-1,511,439,-1,412,511,-1,400,412,-1,443,400,2162,2205,-43,0,5.5555555556,6.0972222222,7.0972222222,5.7222222222,5.5555555556,6.0055555556
3500,2,1,2,27,-2,68,-2,137,101,-2,137,137,-2,117,137,-2,88,117,-2,123,88,560,602,-42,1,2.8857142857,3.9142857143,3.9142857143,3.3428571429,2.5142857143,3.3142857143
14300,2,1,1,25,-2,61,-2,93,110,-2,99,93,-2,57,99,-2,84,57,-2,129,84,420,462,-42,0,0.7692307692,0.6503496503,0.6923076923,0.3986013986,0.5874125874,0.6195804196
10300,1,1,2,26,-2,33,-2,40,26,-2,26,33,-2,40,26,-2,52,33,-2,33,52,151,191,-40,0,0.2524271845,0.3203883495,0.2524271845,0.3203883495,0.5048543689,0.3300970874
7300,2,2,2,27,-2,160,-1,241,241,-1,160,241,-1,363,160,-1,160,362,-1,280,160,1164,1204,-40,0,3.301369863,3.301369863,2.1917808219,4.9589041096,2.1917808219,3.1890410959
3200,2,3,1,46,-1,33,-1,40,45,-1,76,33,-1,80,76,-1,80,78,-1,28,75,265,304,-39,0,1.40625,1.03125,2.375,2.4375,2.34375,1.91875
3100,2,3,2,38,-1,190,-1,73,268,-1,193,73,-1,55,192,-1,245,55,-1,250,245,778,816,-38,0,8.6451612903,2.3548387097,6.1935483871,1.7741935484,7.9032258065,5.3741935484
11700,2,2,2,31,-2,184,-2,260,108,-2,75,256,-2,206,75,-2,131,206,-2,195,131,829,867,-38,0,0.9230769231,2.188034188,0.641025641,1.7606837607,1.1196581197,1.3264957265
19900,1,2,1,31,-1,27,-1,44,44,0,84,60,-1,100,74,0,80,147,0,80,198,352,388,-36,0,0.2211055276,0.3015075377,0.3718592965,0.7386934673,0.9949748744,0.5256281407
8400,2,3,1,39,-1,103,-1,101,157,-1,123,101,-1,112,123,-1,128,112,-1,167,128,596,631,-35,0,1.869047619,1.2023809524,1.4642857143,1.3333333333,1.5238095238,1.4785714286
1500,1,1,1,36,-1,281,-1,335,296,-1,300,335,-1,301,300,-1,365,301,-1,247,365,1513,1548,-35,0,19.7333333333,22.3333333333,20,20.0666666667,24.3333333333,21.2933333333
7100,1,2,2,26,-1,13,-1,13,28,-1,28,13,-1,13,28,-1,34,13,-1,40,34,95,128,-33,0,0.3943661972,0.1830985915,0.3943661972,0.1830985915,0.4788732394,0.3267605634
14300,2,1,1,29,-2,98,-2,82,38,-2,40,81,-2,116,40,-2,40,115,-2,126,40,372,404,-32,0,0.2657342657,0.5664335664,0.2797202797,0.8041958042,0.2797202797,0.4391608392
11300,2,1,2,41,-1,69,-1,80,13,-1,56,80,-1,53,55,-1,52,53,-1,60,50,270,301,-31,0,0.1150442478,0.7079646018,0.4867256637,0.4690265487,0.4424778761,0.4442477876
9200,2,2,1,42,-2,316,-2,230,85,-2,172,229,-2,188,172,-2,190,188,-1,241,188,990,1021,-31,0,0.9239130435,2.4891304348,1.8695652174,2.0434782609,2.0434782609,1.8739130435
18400,1,2,1,39,-2,28,-2,396,397,-2,304,396,-2,188,303,-2,173,188,-2,280,173,1312,1341,-29,0,2.1576086957,2.152173913,1.6467391304,1.0217391304,0.9402173913,1.5836956522
1600,2,2,1,43,-1,9,-1,38,38,-1,38,38,-1,55,38,-1,38,55,-1,38,38,178,207,-29,0,2.375,2.375,2.375,3.4375,2.375,2.5875
10400,2,1,2,33,-2,101,-2,150,103,-2,76,149,-2,81,75,-2,121,81,-2,107,120,509,535,-26,0,0.9903846154,1.4326923077,0.7211538462,0.7788461538,1.1538461538,1.0153846154
6900,2,1,1,36,-1,49,-1,61,97,-1,86,61,-1,76,86,-1,106,76,-1,65,106,369,394,-25,0,1.4057971014,0.884057971,1.2463768116,1.1014492754,1.5362318841,1.2347826087
14400,2,3,2,43,-2,143,-2,143,146,-2,143,143,-2,143,143,-2,171,143,-2,143,171,718,743,-25,0,1.0138888889,0.9930555556,0.9930555556,0.9930555556,1.1875,1.0361111111
7900,2,3,1,40,-2,50,-2,50,50,-2,50,50,-2,50,50,-2,50,50,-2,75,50,250,275,-25,0,0.6329113924,0.6329113924,0.6329113924,0.6329113924,0.6329113924,0.6329113924
12000,2,2,1,54,-2,309,-2,334,297,-2,309,322,-2,309,309,-2,309,309,-2,309,309,1546,1570,-24,0,2.475,2.6833333333,2.575,2.575,2.575,2.5766666667
6800,2,1,2,27,-1,149,-1,149,149,-1,149,149,-1,170,149,-1,156,170,-1,166,156,766,790,-24,0,2.1911764706,2.1911764706,2.1911764706,2.5,2.2941176471,2.2735294118
20100,1,1,1,41,-1,242,-1,307,377,-1,249,307,-1,377,249,-1,289,377,-1,354,289,1552,1576,-24,0,1.8756218905,1.5273631841,1.2388059701,1.8756218905,1.4378109453,1.5910447761
7900,1,1,1,41,1,0,-1,23,23,-1,23,23,-1,23,23,-1,23,23,-1,23,23,92,115,-23,1,0.2911392405,0.2911392405,0.2911392405,0.2911392405,0.2911392405,0.2911392405
1200,2,1,1,34,-1,147,-1,234,116,-1,84,233,-2,116,83,-2,155,116,-2,128,155,695,717,-22,0,9.6666666667,19.4166666667,6.9166666667,9.6666666667,12.9166666667,11.7166666667
12100,1,3,2,62,-1,43,-1,40,47,-1,55,40,-1,64,55,-1,54,64,-1,57,54,249,270,-21,0,0.3884297521,0.3305785124,0.4545454545,0.5289256198,0.4462809917,0.4297520661
9700,1,2,1,58,-1,16,-1,31,16,-1,16,16,-1,16,16,-1,16,16,-1,22,16,80,101,-21,0,0.1649484536,0.1649484536,0.1649484536,0.1649484536,0.1649484536,0.1649484536
5600,2,1,2,31,-1,11,-1,11,11,-1,11,11,-1,18,11,-1,24,18,-1,18,24,62,82,-20,0,0.1964285714,0.1964285714,0.1964285714,0.3214285714,0.4285714286,0.2678571429
